recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_448,Medium,Positive,['Mental Health Services'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_480,Medium,Negative,['Housing & Planning'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_138,Medium,Mixed,['Pensions & National Insurance'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_91,Medium,Positive,['Healthcare & NHS'],The 'Disengaged Battler',40,Female,"Low-paid, insecure work (e.g., cleaner, retail assistant)",Feels no party represents her; highly cynical about politics.,"Likely to be a last resort, emotionally charged, and may contain typos or informal language.","A personal crisis (e.g., benefits, housing) has forced her to engage."
rID_1033,Medium,Mixed,"['Disability Rights & Access', 'Justice & Legal System']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_529,Medium,Positive,['Immigration & Asylum'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_626,Medium,Positive,['Childcare & Family Support'],The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_192,Medium,Very Positive,['Pensions & National Insurance'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_1150,Medium,Very Positive,"['Animal Welfare', 'Social Security & Benefits']",The 'Disengaged Battler',40,Female,"Low-paid, insecure work (e.g., cleaner, retail assistant)",Feels no party represents her; highly cynical about politics.,"Likely to be a last resort, emotionally charged, and may contain typos or informal language.","A personal crisis (e.g., benefits, housing) has forced her to engage."
rID_1176,Medium,Very Negative,"['Digital & Technology', 'Immigration & Asylum']",The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_454,Medium,Very Positive,['Immigration & Asylum'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_797,Medium,Positive,['Education & Schools'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_164,Medium,Neutral,['Mental Health Services'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_323,Long,Negative,['Cost of Living & Economy'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_358,Medium,Positive,['Taxation & Public Spending'],The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_874,Medium,Very Negative,['Transportation & Infrastructure'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_325,Medium,Mixed,['Cost of Living & Economy'],The Overwhelmed Single Parent,32,Female,Juggling part-time work and childcare,No time or energy for political engagement.,"A cry for help, written out of desperation, can be emotional and unstructured.","Hitting a crisis point with finances, childcare, or housing."
rID_614,Medium,Very Negative,['Cost of Living & Economy'],The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_572,Medium,Very Positive,['Disability Rights & Access'],The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_983,Short,Mixed,"['Education & Schools', 'Planning & Development']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_714,Medium,Negative,['Education & Schools'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_961,Medium,Very Negative,"['Taxation & Public Spending', 'Cost of Living & Economy']",The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_228,Short,Very Negative,['Healthcare & NHS'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_1100,Long,Very Positive,"['Local Government & Council Tax', 'Social Security & Benefits']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_966,Medium,Positive,"['Social Security & Benefits', 'Non-Actionable / Incoherent']",The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
